grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, pancake16, "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15", 6, 99523070, 1.572539, 6.3288141025e+07
X, dfid, pancake16, "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9", na, na, na, na
X, dfid, pancake16, "6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0", 8, 3083170416, 148.520504, 2.0759224033e+07
X, dfid, pancake16, "13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14", na, na, na, na
X, dfid, pancake16, "3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15", 4, 158052, 0.002428, 6.5095551895e+07
X, dfid, pancake16, "7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15", 3, 21351, 0.000330, 6.4700000000e+07
X, dfid, pancake16, "10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15", 4, 315591, 0.005512, 5.7255261248e+07
X, dfid, pancake16, "12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15", na, na, na, na
X, dfid, pancake16, "4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6", na, na, na, na
X, dfid, pancake16, "5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4", 8, 3614570590, 66.422843, 5.4417583270e+07
X, dfid, pancake16, "3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15", 4, 443096, 0.006803, 6.5132441570e+07
X, dfid, pancake16, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 635, 0.000011, 5.7727272727e+07
X, dfid, pancake16, "6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4", 4, 582874, 0.008973, 6.4958653739e+07
X, dfid, pancake16, "15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12", 4, 659555, 0.010138, 6.5057703689e+07
X, dfid, pancake16, "12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15", na, na, na, na
X, dfid, pancake16, "11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0", 4, 278426, 0.004336, 6.4212638376e+07
X, dfid, pancake16, "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7", na, na, na, na
X, dfid, pancake16, "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15", 4, 205785, 0.004192, 4.9089933206e+07
X, dfid, pancake16, "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15", 2, 1314, 0.000026, 5.0538461538e+07
X, dfid, pancake16, "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11", na, na, na, na
X, dfid, pancake16, "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15", 6, 20872959, 0.343445, 6.0775259503e+07
X, dfid, pancake16, "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15", 3, 26642, 0.000412, 6.4665048544e+07
X, dfid, pancake16, "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15", na, na, na, na
X, dfid, pancake16, "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13", na, na, na, na
X, dfid, pancake16, "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15", 6, 40990761, 0.651848, 6.2883925394e+07
X, dfid, pancake16, "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1", na, na, na, na
X, dfid, pancake16, "5 6 4 3 2 1 0 7 8 9 10 11 12 13 14 15", 2, 304, 0.000006, 5.0666666667e+07
X, dfid, pancake16, "7 8 9 6 5 4 3 2 1 0 10 11 12 13 14 15", 2, 560, 0.000010, 5.6000000000e+07
X, dfid, pancake16, "6 5 4 0 1 2 3 7 8 9 10 11 12 13 14 15", 2, 1329, 0.000022, 6.0409090909e+07
X, dfid, pancake16, "1 2 3 4 5 6 0 7 8 9 10 11 12 13 14 15", 2, 1148, 0.000019, 6.0421052632e+07
X, dfid, pancake16, "13 12 11 10 9 8 0 1 7 6 5 4 3 2 14 15", 3, 39789, 0.000613, 6.4908646003e+07
X, dfid, pancake16, "15 14 6 7 8 9 10 11 3 0 2 1 12 13 4 5", 8, 3329473872, 517.204779, 6.4374383362e+06
X, dfid, pancake16, "4 7 14 0 10 15 8 11 9 6 3 1 13 2 5 12", na, na, na, na
X, dfid, pancake16, "14 9 10 2 15 13 6 8 1 5 4 7 11 12 3 0", na, na, na, na
X, dfid, pancake16, "0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15", 0, 2, 0.000000, inf
X, dfid, pancake16, "13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4", na, na, na, na
X, dfid, pancake16, "10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15", 2, 2233, 0.000037, 6.0351351351e+07
X, dfid, pancake16, "14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15", na, na, na, na
X, dfid, pancake16, "0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15", 4, 562083, 0.008648, 6.4995721554e+07
X, dfid, pancake16, "1 0 11 12 10 9 2 3 4 5 13 14 15 8 7 6", 7, 673902004, 14.524485, 4.6397652240e+07
X, dfid, pancake16, "4 5 11 12 13 14 3 2 6 7 8 9 10 0 1 15", 6, 48958960, 0.762378, 6.4218747131e+07
X, dfid, pancake16, "15 7 12 0 1 5 8 4 11 10 6 3 2 13 9 14", na, na, na, na
X, dfid, pancake16, "1 7 11 4 3 10 8 5 12 2 13 9 15 6 0 14", na, na, na, na
X, dfid, pancake16, "5 3 13 4 14 8 15 0 1 6 7 12 11 2 9 10", na, na, na, na
X, dfid, pancake16, "13 12 8 1 3 9 15 14 11 5 2 6 7 0 4 10", na, na, na, na
X, dfid, pancake16, "8 2 1 6 9 10 4 3 11 12 0 15 14 13 5 7", na, na, na, na
X, dfid, pancake16, "12 14 4 10 1 9 2 5 8 6 0 3 15 7 11 13", na, na, na, na
X, dfid, pancake16, "13 9 10 11 7 3 2 12 8 6 5 4 0 1 14 15", na, na, na, na
X, dfid, pancake16, "3 6 12 1 7 13 11 5 0 14 15 10 9 8 2 4", na, na, na, na
X, dfid, pancake16, "15 14 13 12 11 10 9 8 0 1 2 3 4 5 7 6", 3, 44855, 0.000691, 6.4913169320e+07
X, dfid, pancake16, "5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15", 2, 756, 0.000019, 3.9789473684e+07
X, dfid, pancake16, "1 2 3 13 14 12 4 0 5 6 7 8 9 10 11 15", 6, 51095888, 0.807050, 6.3311923673e+07
X, dfid, pancake16, "0 1 2 3 4 5 8 9 10 11 12 13 7 6 14 15", 4, 562927, 0.008645, 6.5115905147e+07
X, dfid, pancake16, "0 4 11 10 9 5 6 13 15 3 2 12 8 1 14 7", na, na, na, na
X, dfid, pancake16, "0 1 8 5 6 7 12 11 10 4 2 3 9 13 14 15", 8, 3080488134, 425.274887, 7.2435223150e+06
X, dfid, pancake16, "10 11 9 8 7 6 0 5 1 2 3 4 12 13 14 15", 5, 1047018, 0.016812, 6.2278015703e+07
X, dfid, pancake16, "8 10 6 12 3 14 15 9 4 13 7 0 11 2 1 5", na, na, na, na
X, dfid, pancake16, "5 9 14 8 2 6 4 3 7 13 12 10 11 15 1 0", na, na, na, na
X, dfid, pancake16, "13 14 12 0 1 4 7 8 11 10 9 3 2 6 5 15", 8, 3256052305, 76.039393, 4.2820598331e+07
X, dfid, pancake16, "12 11 10 9 8 4 3 2 1 0 5 6 7 13 14 15", 3, 37226, 0.000855, 4.3539181287e+07
X, dfid, pancake16, "7 6 5 4 3 8 9 10 11 12 2 1 0 13 14 15", 3, 13902, 0.000215, 6.4660465116e+07
X, dfid, pancake16, "5 11 7 13 12 8 1 0 2 10 9 4 14 6 15 3", na, na, na, na
