grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, topspin16-4, "0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15", 2, 1113, 0.000023, 4.8391304348e+07
X, dfid, topspin16-4, "11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15", na, na, na, na
X, dfid, topspin16-4, "1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15", na, na, na, na
X, dfid, topspin16-4, "14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15", 10, 2062650995, 337.393288, 6.1134914901e+06
X, dfid, topspin16-4, "3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15", 8, 106051792, 1.801146, 5.8880175177e+07
X, dfid, topspin16-4, "0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15", 4, 71214, 0.001231, 5.7850528026e+07
X, dfid, topspin16-4, "3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15", 4, 30639, 0.000515, 5.9493203883e+07
X, dfid, topspin16-4, "1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15", na, na, na, na
X, dfid, topspin16-4, "8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15", na, na, na, na
X, dfid, topspin16-4, "4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15", 6, 6870284, 0.115315, 5.9578406972e+07
X, dfid, topspin16-4, "0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15", 6, 2369600, 0.040206, 5.8936477143e+07
X, dfid, topspin16-4, "14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15", na, na, na, na
X, dfid, topspin16-4, "2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15", 8, 157806977, 3.015755, 5.2327518979e+07
X, dfid, topspin16-4, "2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15", 6, 4078807, 0.071325, 5.7186218016e+07
X, dfid, topspin16-4, "3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15", 6, 4251460, 0.072112, 5.8956345684e+07
X, dfid, topspin16-4, "0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15", 8, 153211827, 2.806836, 5.4585243669e+07
X, dfid, topspin16-4, "8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15", na, na, na, na
X, dfid, topspin16-4, "0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15", na, na, na, na
X, dfid, topspin16-4, "0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15", 2, 841, 0.000029, 2.9000000000e+07
X, dfid, topspin16-4, "11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15", na, na, na, na
X, dfid, topspin16-4, "7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15", na, na, na, na
X, dfid, topspin16-4, "14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15", 6, 4957575, 0.084396, 5.8741824257e+07
X, dfid, topspin16-4, "11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15", 8, 368003454, 6.484349, 5.6752567451e+07
X, dfid, topspin16-4, "13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15", 10, 1200370166, 168.843567, 7.1093627511e+06
X, dfid, topspin16-4, "12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15", na, na, na, na
X, dfid, topspin16-4, "3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15", 6, 3198087, 0.054849, 5.8307115900e+07
X, dfid, topspin16-4, "14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15", 2, 1567, 0.000032, 4.8968750000e+07
X, dfid, topspin16-4, "3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15", 8, 123018548, 2.119109, 5.8052015257e+07
X, dfid, topspin16-4, "4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15", 8, 292202940, 5.179658, 5.6413558579e+07
X, dfid, topspin16-4, "7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15", na, na, na, na
X, dfid, topspin16-4, "2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15", 8, 417130082, 7.426509, 5.6167720527e+07
